N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,7.41×,3.09×,3.18×,4.00×,4.60×,8.00×
300,3.0×,28.98×,6.73×,7.51×,9.00×,11.15×,27.00×
500,5.0×,134.35×,17.55×,20.85×,25.00×,33.74×,125.00×
750,7.5×,667.36×,49.84×,44.32×,56.25×,80.86×,421.88×
"1,000",10.0×,1387.86×,80.26×,68.89×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,126.69×,107.24×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,168.93×,147.61×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,267.02×,290.42×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,345.61×,560.43×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,477.09×,824.34×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.19** (6 pts),**1.88** (11 pts),**1.96** (11 pts),2.00,~2.1,3.00
