N,N (normalized),classical,stage 1,stage 2,N² (ref.),N² log N (ref.),N³ (ref.)
100,1.0×,1.00×,1.00×,1.00×,1.00×,1.00×,1.00×
200,2.0×,7.55×,3.36×,3.63×,4.00×,4.60×,8.00×
300,3.0×,27.93×,6.20×,7.71×,9.00×,11.15×,27.00×
500,5.0×,131.60×,16.57×,20.56×,25.00×,33.74×,125.00×
750,7.5×,487.17×,34.49×,44.80×,56.25×,80.86×,421.88×
"1,000",10.0×,1301.82×,57.17×,60.81×,100.00×,150.00×,1000.00×
"1,250",12.5×,N/A,87.91×,76.97×,156.25×,241.95×,1953.12×
"1,500",15.0×,N/A,128.14×,112.78×,225.00×,357.31×,3375.00×
"2,000",20.0×,N/A,217.88×,193.39×,400.00×,660.21×,8000.00×
"2,500",25.0×,N/A,337.03×,321.16×,625.00×,1061.86×,15625.00×
"3,000",30.0×,N/A,491.02×,473.60×,900.00×,1564.70×,27000.00×
**fitted exponent**,,**3.11** (6 pts),**1.82** (11 pts),**1.76** (11 pts),2.00,~2.1,3.00
